# SPDX-License-Identifier: GPL-3.0-or-later
# SPDX-FileCopyrightText: 2026 Tine Zata
category,item,status,notes
General,Schematic title block completed,pending,
General,Page numbers and total pages indicated,pending,
General,Schematic is logically organized,pending,
General,All sheets connected properly,pending,
General,Net names are descriptive and consistent,pending,
Component Symbols,All component symbols match physical components,pending,
Component Symbols,Pin numbers match component datasheets,pending,
Component Symbols,Component values/part numbers populated,pending,
Component Symbols,All required pins connected,pending,
Component Symbols,Power and ground pins of ICs shown,pending,
Electrical Rules,ERC passed with no errors,pending,
Electrical Rules,No unconnected pins (unless intentionally NC),pending,
Electrical Rules,NC pins labeled as NC explicitly,pending,
Electrical Rules,Power flags placed on power rails,pending,
Electrical Rules,No nets with only one connected pin,pending,
Power & Ground,All power supply voltages labeled correctly,pending,
Power & Ground,Power and ground symbols consistent throughout schematic,pending,
Power & Ground,Separate symbols used for different supply voltages,pending,
Power & Ground,Decoupling capacitors shown near ICs,pending,
Power & Ground,Bulk capacitors on power rails,pending,
Signal Integrity,Pull-up/pull-down resistors added where needed,pending,
Signal Integrity,Series termination resistors on high-speed lines,pending,
Signal Integrity,ESD protection on external interfaces,pending,
Signal Integrity,TVS diodes on power inputs,pending,
Connections,All bus definitions correct and consistent,pending,
Connections,Bus members labeled appropriately,pending,
Connections,Junction dots on all T-connections,pending,
Connections,No accidental wire crossings without junctions,pending,
Connections,Off-page connector arrows point in correct directions,pending,
Documentation,Component values have units,pending,
Documentation,Critical components annotated with notes,pending,
Documentation,Reference designators assigned and sequential,pending,
Documentation,Schematic exported to PDF and checked,pending,
Documentation,Net list generated and reviewed,pending,
